name,value
GO:0008283,2.998509602631039e-4
GO:0010048,0.03864776230997334
GO:2000031,0.0036044369990114134
GO:0048366,0.028437169267715702
GO:0007131,0.005133249016832575
GO:0009407,0.0015591986838097661
GO:0048527,0.017747628896850047
GO:0031338,0.010765276470161862
GO:0010628,3.031116703210019e-6
GO:0009734,9.308364557323105e-4
GO:0009809,2.3046669848288687e-4
GO:0006355,0.02619903127532924
GO:2001038,0.0036233361598658415
GO:0009651,1.873794058281118e-5
GO:0009637,0.004766405613119196
GO:0071577,0.0449773399464323
