name,value
GO:0051103,0.03834766865666094
GO:0009910,2.5260838102824065e-6
GO:0010077,0.003307510709747548
GO:0010025,2.2184426356798965e-31
GO:0010030,9.951872814522867e-9
GO:0009266,1.4348944209140766e-8
GO:0043928,3.874143947254543e-4
GO:0017148,7.324149574604455e-18
GO:0042177,0.019615404296566396
GO:1905639,0.02406609911215827
GO:0048438,3.808722501162149e-28
GO:0019365,3.574515944616538e-7
GO:2000117,3.609799361560355e-15
GO:0009739,1.450532054802895e-4
GO:0010373,5.2849927726878685e-9
GO:0019432,2.2986488112808356e-30
GO:0006355,1.1372666004844816e-10
GO:0051672,9.067311211787135e-6
GO:0072699,0.004893752902173687
GO:0010951,0.011365150076229163
GO:0019252,0.006024535079426449
GO:0070987,0.045448876701189966
GO:0010116,2.6239756147137867e-7
GO:0034605,1.4248383145346664e-6
GO:0048830,7.354126621910084e-4
GO:0010262,1.7097667056994716e-4
GO:0010220,3.8959748468199654e-7
GO:0090696,1.3287199178962835e-11
GO:0010208,1.9671288905938472e-4
GO:0045892,1.0831952040608384e-4
GO:0006212,6.330247541116345e-4
GO:0032353,2.136156556601648e-4
GO:0006769,3.574515944616538e-7
