Zostera marina
Zostera muelleri
Arabidopsis thaliana
Schrenkiella parvula
Populus trichocarpa
Vitis vinifera
Amborella trichopoda
Oryza sativa
Zea mays
Brachypodium distachyon
Spirodela polyrhiza
Selaginella moellendorffii
Physcomitrella patens
Chlamydomonas reinhardtii
Ostreococcus sp. 'lucimarinus'
Lemna gibba
Posidonia australis
Amphibolis antarctica
