Ostreococcus lucimarinus
Chlamydomonas reinhardtii
Physcomitrella patens
Selaginella moellendorffii
Oryza sativa
Brachypodium distachyon
Zea mays
Posidonia australis
Zostera marina
Zostera muelleri
Amphibolis antarctica
Spirodela polyrhiza
Lemna gibba
Vitis vinifera
Arabidopsis thaliana
Schrenkiella parvula
Populus trichocarpa
Amborella trichopoda
Wolffia australiana
