name,value
GO:0036309,5.3796348601848907e-17
GO:0098910,5.3796348601848907e-17
GO:0001736,0.0011220672513439698
GO:0010730,5.8330264353548765e-6
GO:0010731,1.2658493050603285e-8
GO:0008356,0.02320752380154046
GO:0033292,5.3796348601848907e-17
GO:0034614,0.003990150814024903
GO:0009992,0.0011482679137404287
GO:0098907,5.3796348601848907e-17
GO:0098908,0.03798510730439053
GO:0021772,0.03798510730439053
GO:0010891,3.0317113446491606e-8
GO:0010898,3.0317113446491606e-8
GO:0009961,0.0014141221522706734
GO:0009962,1.1045361352786143e-27
GO:0016458,4.42416810682583e-125
GO:0010881,7.331882562762025e-32
GO:0048312,0.03798510730439053
GO:0048316,5.385451145616205e-8
GO:0009914,3.7776577563560853e-13
GO:0097502,1.0192148696589808e-11
GO:0072321,0.006521901702949211
GO:0090559,1.0219064447967606e-4
GO:1901599,0.003314794998493881
GO:0010842,0.002128928150191608
GO:0035024,1.052629865014364e-5
GO:0052324,0.001770400379717567
GO:0036159,5.461828385271821e-7
GO:1901527,1.90564485648984e-28
GO:0072498,0.03798510730439053
GO:0080024,1.4745602567758165e-12
GO:0080027,3.776353289680499e-36
GO:0060071,7.241835236072848e-5
GO:0060078,2.3626014430928247e-8
GO:0030540,1.3820560362002244e-15
GO:0019343,0.013157588235859075
GO:0019346,0.013157588235859075
GO:0019348,3.7504770882838936e-4
GO:0030539,2.0149232759592085e-18
GO:0080003,6.529097381004281e-24
GO:0090615,1.1993251012680424e-28
GO:0016102,2.449398922261066e-43
GO:0016106,9.971326580536135e-34
GO:1901684,1.8954542049791995e-6
GO:1900000,5.815035598737938e-59
GO:0000023,4.0001495708967525e-10
GO:0000025,8.670153266598548e-7
GO:0019450,1.720039898014936e-8
GO:0019458,3.061952985196089e-8
GO:0021537,9.91241405297114e-4
GO:0048172,1.3880544563064703e-11
GO:0001680,4.839551668106767e-10
GO:0005995,3.7605557250828224e-4
GO:0010623,3.368985502866103e-16
GO:0030639,6.116929848968964e-10
GO:0008298,1.9927410334332583e-4
GO:0010618,3.0466569994058446e-21
GO:0044364,0.03798510730439053
GO:0005983,4.471130491139683e-6
GO:0005977,0.002286771738253615
GO:0008277,0.020199100532708018
GO:0048265,0.03798510730439053
GO:0032194,6.948638964918403e-7
GO:0045926,1.8723867003237822e-31
GO:0048211,5.236482561480222e-8
GO:0070972,7.711800210529752e-5
GO:0050966,0.03798510730439053
GO:0050968,0.03798510730439053
GO:0050955,0.03798510730439053
GO:0070911,0.04284768892101664
GO:0070914,0.004427240981212491
GO:0048767,0.00230679055415057
GO:0043067,0.009243056090381264
GO:0060359,1.2734541340867315e-5
GO:0044403,1.0727930065362953e-9
GO:0043086,3.32425795453084e-5
GO:0071395,9.083511475223947e-8
GO:0071398,5.637180497580382e-24
GO:0106004,2.8948945350506618e-5
GO:0086091,5.3796348601848907e-17
GO:0071368,4.649798626756649e-12
GO:0060307,5.951773945932218e-19
GO:0086064,1.089090004310731e-11
GO:0071320,1.177689433192531e-13
GO:0007492,0.03798510730439053
GO:0019761,1.1850278221185291e-7
GO:1904211,1.8972822737036663e-8
GO:0060465,0.03798510730439053
GO:1901946,3.717261317627271e-10
GO:0019752,1.7903844687966406e-8
GO:0016567,1.54181129771829e-38
GO:1901948,3.717261317627271e-10
GO:1901949,3.717261317627271e-10
GO:0019756,2.857437794116154e-28
GO:0086046,5.3796348601848907e-17
GO:0000304,1.6054058799121154e-13
GO:0086005,5.3796348601848907e-17
GO:0006097,1.601403649014461e-8
GO:1900426,0.01628677389856016
GO:0010942,1.753030744387932e-10
GO:0010930,2.166614051552155e-5
GO:0032775,0.02741077444733654
GO:0044255,0.001052640986686129
GO:1900449,1.0627942186039984e-5
GO:0008584,1.3820560362002244e-15
GO:0000454,0.014090844506207434
GO:0071475,3.0307418780628926e-26
GO:0048599,0.011310922075001246
GO:0080156,1.897985442765767e-27
GO:0080184,9.464800665645366e-13
GO:0071446,2.00393829421361e-17
GO:0071447,1.0627942186039984e-5
GO:0007165,2.435073281965502e-141
GO:0007166,1.3595633318752703e-8
GO:0080110,2.5340553918300843e-9
GO:0031347,9.747359463738494e-6
GO:1900153,4.1551899633508625e-7
GO:0048512,2.5963593594627213e-9
GO:2001294,4.122017782081465e-6
GO:0032870,1.538800278903658e-12
GO:0048509,4.793321548168756e-19
GO:2001259,2.4728509719282446e-5
GO:0052544,3.7137370987214276e-46
GO:0060291,1.3880544563064703e-11
GO:0060294,1.771542941401809e-11
GO:0072699,0.024694419750611818
GO:0003341,1.1518125242354681e-13
GO:0007263,1.1200093252425597e-7
GO:0007267,1.9404863372273614e-12
GO:0060285,1.4623124931320546e-10
GO:0060213,4.1551899633508625e-7
GO:0015768,5.9462274330942965e-9
GO:0071266,3.064117185814484e-8
GO:0032527,1.0617446221567993e-11
GO:0009083,1.6406532240671723e-21
GO:0038018,7.225211584979284e-5
GO:0044829,0.011365274878010756
GO:1902075,1.6091564514679333e-9
GO:0071229,3.576587822628572e-16
GO:0000226,1.0943296898970186e-8
GO:1902025,2.72139890541127e-26
GO:0071215,1.9590132238329774e-5
GO:0071218,0.02950116019618994
GO:1904526,2.031600874183094e-45
GO:0032504,0.04913315008979024
GO:0032508,1.8172386805276814e-9
GO:1902042,1.0627942186039984e-5
GO:0071236,4.5653490640721097e-29
GO:0002066,9.862897036609508e-6
GO:0015700,5.641207531736177e-8
GO:0015708,0.003314794998493881
GO:0012502,6.948638964918403e-7
GO:0060776,0.002393163304934108
GO:0031146,3.990646649727939e-59
GO:0035864,7.000417612989371e-7
GO:0002028,1.09024542753534e-11
GO:0002011,5.4830016893353966e-5
GO:0043447,9.800648299015519e-4
GO:0006368,9.376449614176591e-8
GO:0044550,1.4590746372649327e-9
GO:0071766,1.6578844437998337e-8
GO:0015886,9.595374936705326e-4
GO:0042073,1.923358855961582e-6
GO:0035845,0.002128928150191608
GO:0051762,3.3641125745527655e-179
GO:1900706,1.4811055586137532e-12
GO:0000720,2.244948924394053e-19
GO:0071731,2.2777957568466972e-4
GO:0071732,9.455892093578188e-11
GO:0051729,0.011365274878010756
GO:0046345,3.997995864147385e-41
GO:0051704,3.082190874057249e-31
GO:0006468,1.7218993039208023e-41
GO:0035518,0.021439313088207207
GO:0003283,8.418151778765737e-4
GO:0006432,1.6264489421500088e-5
GO:1905034,4.138283915483014e-7
GO:0046482,4.805393546731857e-18
GO:0035690,1.974939048879145e-25
GO:2000051,7.225211584979284e-5
GO:0046477,0.004269157934804526
GO:2000083,6.190001457071706e-16
GO:0071805,0.014390971389924574
GO:2000023,6.141192660507349e-6
GO:2000026,3.5087610917069377e-17
GO:0045056,5.236482561480222e-8
GO:0006165,0.0014533451796889902
GO:0006183,1.1018857164348574e-4
GO:0009311,5.6228367744291945e-6
GO:0051554,3.41128286752103e-30
GO:0051513,0.04601925929315893
GO:0006293,6.47053408403723e-7
GO:0007612,3.278281428043645e-7
GO:0007613,2.1894265724274387e-14
GO:0006260,0.014741054135099782
GO:0009451,8.548980387115269e-16
GO:0071669,2.188033670485314e-23
GO:0042371,6.948638964918403e-7
GO:0007605,0.006248766376243727
GO:1990034,1.3880544563064703e-11
GO:0009410,3.353894689440306e-5
GO:1903553,0.03798510730439053
GO:0046246,2.724221174295513e-26
