name,value
GO:0046740,1.4378579561353035e-5
GO:0043921,1.8031641631577991e-6
GO:0043923,1.8031641631577991e-6
GO:0071602,8.628451951955277e-11
GO:0048660,7.744441922796959e-4
GO:0030244,0.004862620539231288
GO:0050434,7.0964225331640515e-6
GO:0048658,0.001378595288609823
GO:0010514,0.0038814812970911993
GO:1904158,4.13207527248941e-7
GO:0009833,2.0908197810338744e-5
GO:0018008,1.6575381408087654e-7
GO:0070848,7.773039476867767e-4
GO:0052472,1.8031641631577991e-6
GO:0019471,2.6859016342120902e-5
GO:0060776,0.003349254704536434
GO:0031098,1.1162918340011223e-5
GO:0046512,2.626474249191293e-4
GO:0006488,0.020147780745921228
GO:0009451,5.022807283046742e-43
GO:0034307,0.0038814812970911993
GO:0009653,0.020828582490332506
GO:0042351,1.4378579561353035e-5
GO:0042353,0.011461982061972745
GO:0010064,1.6575381408087654e-7
GO:0043406,2.401120217473916e-5
GO:0000186,3.131992487430911e-5
GO:1902184,4.754618389479992e-9
GO:0010030,0.02553740035154693
GO:0050728,0.0038814812970911993
GO:0033330,7.63949305420749e-10
GO:0034401,8.024448143720076e-4
GO:2000117,2.4446365529362918e-5
GO:0033303,7.63949305420749e-10
GO:0033542,1.4378579561353035e-5
GO:0042450,0.005767515501979047
GO:1902290,0.005199699724795861
GO:0051131,0.0010240557774593621
GO:0045652,0.0249898231374664
GO:0033485,7.63949305420749e-10
GO:1904837,1.4378579561353035e-5
GO:0042407,3.4728942505577283e-6
GO:0010727,0.011461982061972745
GO:0071507,0.0038814812970911993
GO:0018401,2.6859016342120902e-5
GO:0051782,0.04381938473241382
GO:0002237,0.031999280603109734
GO:0002238,0.0066732713172717225
GO:0031333,8.009060631881182e-4
GO:0090305,7.804786146139023e-41
