name,value
GO:0036309,2.420251422757196e-17
GO:0098910,2.420251422757196e-17
GO:0001736,0.01226016257102592
GO:0010730,3.581905265698216e-6
GO:0010731,4.206424540376997e-9
GO:0033292,2.420251422757196e-17
GO:0034614,0.0023675290649359196
GO:0009992,0.04088882502057253
GO:0098907,2.420251422757196e-17
GO:0098908,0.030795354915985094
GO:0021772,0.030795354915985094
GO:0010891,1.5930888544386523e-8
GO:0010898,1.5930888544386523e-8
GO:0009961,6.783992589199113e-4
GO:0009962,5.925951784347193e-23
GO:1990575,3.667959672711278e-5
GO:0016458,8.844125229581364e-159
GO:0010881,1.827736156184039e-32
GO:0048312,0.030795354915985094
GO:0009914,1.2862037847118445e-13
GO:0072321,0.00380911172215534
GO:0090559,1.2729843287814e-6
GO:0001841,1.2798064084586953e-7
GO:1901599,0.0025724165155111985
GO:0010842,0.0015902844517231719
GO:0035024,5.348687543705036e-6
GO:0052324,0.008209008004539326
GO:0070667,1.1539603630937678e-7
GO:0036159,2.9039603217334552e-8
GO:0072498,0.030795354915985094
GO:0080024,3.230952224239708e-13
GO:0080027,1.236588524620282e-37
GO:0060071,4.077440592578601e-5
GO:0060078,1.330589881540864e-8
GO:0019323,0.0011575970778794707
GO:0030540,5.191744381540626e-16
GO:0019343,0.007743534742092416
GO:0019346,0.007743534742092416
GO:0030539,6.670406004043627e-19
GO:0080003,1.6218411607060397e-24
GO:0051090,0.03636533558507368
GO:0090615,1.2569432612681692e-44
GO:0016102,1.5576208350661792e-44
GO:0016106,5.249057383331156e-35
GO:0099402,3.6045654056508294e-8
GO:1901684,6.311396660792214e-14
GO:0000023,1.6858011329696193e-10
GO:0000025,3.96062746930498e-7
GO:0019450,1.0421864874264812e-8
GO:0019458,1.6657854536465735e-8
GO:0001667,6.4061474182553166e-12
GO:0021537,5.53395272730571e-4
GO:0048172,7.406098030980796e-12
GO:0010623,4.704237565161592e-16
GO:0008295,7.427308101767182e-22
GO:0010618,1.1588698161378943e-21
GO:0044364,0.030795354915985094
GO:0005983,1.3621589848961225e-6
GO:0005977,0.002326574718675711
GO:0048265,0.030795354915985094
GO:0008202,6.741438194682978e-16
GO:0045926,2.821065756417606e-8
GO:0048211,2.2088073192055786e-8
GO:0070972,3.91867874945127e-5
GO:0050966,0.030795354915985094
GO:0050968,0.030795354915985094
GO:0050955,0.030795354915985094
GO:0070914,0.0020175652350557564
GO:0043067,0.007305068249319798
GO:0044403,2.7282564073292306e-10
GO:0043086,7.01620778588535e-5
GO:0071395,2.9176780248790036e-10
GO:0071398,1.4839732632174156e-24
GO:0086091,2.420251422757196e-17
GO:0071368,1.6593531802410198e-12
GO:0060307,2.194214395249078e-19
GO:0032212,0.019606538248095228
GO:0086064,6.040903967894491e-12
GO:0032232,1.1428339158780297e-6
GO:0071320,5.781821209459651e-14
GO:0007492,0.030795762487284113
GO:0019761,5.308338194999759e-8
GO:0019762,0.02220348383641979
GO:0071347,1.8206682419774159e-9
GO:0060465,0.030795354915985094
GO:1901946,1.6744395046634795e-10
GO:0019752,5.473106184106486e-9
GO:0016567,7.943241785540177e-55
GO:1901948,1.6744395046634795e-10
GO:1901949,1.6744395046634795e-10
GO:0019756,7.784303737365493e-29
GO:0086046,2.420251422757196e-17
GO:0000304,4.080398454176802e-14
GO:0086005,2.420251422757196e-17
GO:1900426,0.007211271846943464
GO:0010942,3.416249432112744e-11
GO:0044262,0.0012007474204148235
GO:0010930,1.0751371513682093e-5
GO:0044255,5.64689388540804e-4
GO:1900449,7.0226986412681445e-6
GO:0060404,4.7683618720445616e-12
GO:0032717,0.03564442557984455
GO:0008584,5.191744381540626e-16
GO:0071482,1.0745473340444116e-8
GO:0071475,5.395281850418889e-27
GO:0080156,1.559996045171333e-36
GO:0072594,5.111639080770323e-8
GO:0080184,5.031694598404518e-13
GO:0071446,1.4214007191232914e-21
GO:0071447,7.0226986412681445e-6
GO:0007165,1.085271613737314e-131
GO:0007166,8.397523844234786e-14
GO:0048587,0.0021458218380034717
GO:0031347,1.5228563914154117e-13
GO:0048512,1.4019202472232388e-9
GO:2001294,2.360975708936292e-6
GO:0032870,1.0751509228010792e-15
GO:0048509,1.5761165021753705e-28
GO:2001259,1.194082943321786e-5
GO:0052544,2.4657375592179372e-57
GO:0060291,7.406098030980796e-12
GO:0060294,1.7387453841137525e-21
GO:0060296,3.953962129751909e-7
GO:0003341,5.560192574701581e-14
GO:0007263,3.619663521276331e-7
GO:0048658,3.2178297592367255e-7
GO:0007267,2.0230656690609056e-13
GO:0007256,1.1428339158780297e-6
GO:0060285,8.026271098565793e-11
GO:0015768,2.5474389159689063e-9
GO:0009052,5.657576936386758e-5
GO:0035725,1.9645198118129025e-5
GO:0071266,1.6669051397779273e-8
GO:0032527,2.971178967008269e-12
GO:0009088,2.1417548475208606e-10
GO:0038018,4.068448554118711e-5
GO:0071281,2.7367380396135034e-12
GO:1903400,3.667959672711278e-5
GO:0043496,0.03966519368473502
GO:1902075,9.343844201163858e-10
GO:0071229,2.257708822989925e-19
GO:0051258,0.039154681218225476
GO:1902025,4.679782000125851e-27
GO:0071215,1.270902886693974e-5
GO:0071218,0.017076626986487053
GO:1904526,6.400813961354067e-6
GO:0071219,4.407013005018613e-8
GO:0032508,0.0012130847004730282
GO:1902042,7.0226986412681445e-6
GO:0071236,4.064450841977276e-33
GO:0015700,3.010346271887868e-16
GO:0015708,0.0025724165155111985
GO:0012502,7.672881248071266e-6
GO:0060776,0.0011052529797414658
GO:0031146,1.1899067249169066e-71
GO:0035864,4.123521329151177e-7
GO:0002028,6.047101034561467e-12
GO:0002011,2.9037248883652575e-5
GO:0043447,4.7965878955916815e-4
GO:0044550,1.308810442912064e-32
GO:0071766,1.043672770295529e-8
GO:0042073,1.2673289584219392e-6
GO:0035845,0.0015902844517231719
GO:0051762,1.9180830003006657e-182
GO:1900706,6.779757761909795e-13
GO:0006314,0.0020132380545243253
GO:0015840,0.0016353136677156551
GO:0000720,7.125797918910709e-20
GO:0015847,0.03722099020985067
GO:0071731,1.1466508174027121e-4
GO:0071732,8.147289826499317e-14
GO:0046345,2.0350947825603624e-41
GO:0046330,2.1417548475208606e-10
GO:0051704,1.4453138335775167e-41
GO:0006468,1.774523528199144e-61
GO:0035518,0.015583710470607389
GO:0034090,4.1924304861106334e-14
GO:0003283,4.216459272173063e-4
GO:1905034,1.7229134205865572e-7
GO:0046482,1.0040429544403345e-18
GO:0035690,1.1156773638271194e-27
GO:2000051,4.068448554118711e-5
GO:0007584,0.04770457395590143
GO:2000083,2.905982224721471e-16
GO:2000023,2.696865010864486e-6
GO:2000026,1.5271767623234498e-14
GO:1903711,3.138414269725287e-7
GO:0035670,4.091957811902176e-7
GO:0045056,2.2088073192055786e-8
GO:0006165,6.438755097220361e-4
GO:0009311,6.212089191489789e-4
GO:0009314,0.007855555749196545
GO:0051554,8.201926536927464e-31
GO:0045008,0.0369021814947148
GO:0051513,0.033581589095993895
GO:0007612,1.0236693310599863e-7
GO:0007613,1.0280978024801063e-8
GO:0009451,1.9686980549210564e-25
GO:0007605,0.003551479269634211
GO:1990034,7.406098030980796e-12
GO:0009410,5.157443214775639e-5
GO:1903553,0.030795354915985094
GO:0046246,1.9923722122129835e-38
GO:1901021,2.420251422757196e-17
GO:1903522,0.03051936490800851
GO:0051607,0.00606824147004813
GO:1901018,2.420251422757196e-17
GO:0031508,1.5853722603234053e-6
GO:1901038,8.000176620465374e-24
GO:0034394,1.0801366306435546e-5
GO:0010082,6.876683127550169e-69
GO:0006778,7.0798281896446e-8
GO:0006723,3.864224149542431e-5
GO:1903507,1.2896293461451468e-6
GO:0010022,5.275957033230402e-6
GO:0009143,2.831731543310147e-12
GO:0042448,5.191744381540626e-16
GO:0010016,1.172616181634113e-10
GO:0006739,0.016985173605224967
GO:0010030,2.3863014039303807e-14
GO:0006702,5.191744381540626e-16
GO:0018106,2.477366989038283e-12
GO:0018107,6.4855059218386e-6
GO:0031640,0.030795354915985094
GO:0006898,1.7685817964235452e-5
GO:2000310,7.0226986412681445e-6
GO:1902290,4.362779732597192e-13
GO:1902265,8.728549726662623e-4
GO:0006885,1.6304160928159112e-16
GO:0042177,0.0014717569340681046
GO:0043693,5.521509263537586e-57
GO:0006812,1.1893690828130645e-5
GO:0045338,1.0036313224545655e-29
GO:0045339,4.176645634634497e-33
GO:0035902,6.55683346284234e-13
GO:0097366,4.681232841354957e-20
GO:0002276,1.1539603630937678e-7
GO:0098703,7.406098030980796e-12
GO:0060918,2.5361395528386837e-4
GO:0006597,2.203903329580156e-34
GO:0002213,0.012872826792986299
GO:0002215,2.601623661932115e-4
GO:0002230,1.0404186255682899e-24
GO:0002237,3.4241653013252008e-9
GO:0002238,1.6452453545873114e-6
GO:0002239,1.3321631425148718e-16
GO:0009753,0.003215627599614123
GO:0006569,5.758892985709325e-6
GO:0043603,0.024521298538200578
GO:0000966,5.271607314085156e-43
GO:0098869,1.1671671487277006e-4
GO:0009727,3.9061796749412256e-19
GO:0070301,8.242568188219898e-25
GO:0009718,1.093827312718208e-4
GO:0009745,0.03905643790902951
GO:0009734,1.3964775450947726e-7
GO:0000914,1.732119264736801e-4
GO:0033007,1.1539603630937678e-7
GO:0061370,5.191744381540626e-16
GO:0070462,4.7683618720445616e-12
GO:2000155,1.2123785115810879e-14
GO:0006509,2.810938159804014e-13
GO:0046548,0.0015902844517231719
GO:0046549,0.0015902844517231719
GO:0006696,2.594843912617093e-4
GO:0090305,1.8172748066644572e-40
GO:0045168,1.4734558707796869e-46
GO:2000142,3.2227259233674326e-4
GO:0009865,0.0014501218503692142
GO:0009866,0.016790666337189872
GO:0009867,1.027683057325424e-14
GO:0009852,8.69575224544415e-10
GO:0009854,2.10066926200792e-5
GO:0006654,0.026497139776116157
GO:1905255,1.1539603630937678e-7
GO:0009871,9.259270919296529e-35
GO:0010359,3.283020842365923e-8
GO:0009877,1.2251860830516263e-5
GO:0018874,1.8896769709343813e-25
GO:0009820,1.9484994171456983e-4
GO:0010375,1.0262292407883284e-10
GO:0010376,0.04895087686445861
GO:0006629,4.655492545926298e-5
GO:0045144,2.4480914459547964e-5
GO:0009819,1.796789908051893e-21
GO:0042742,1.0915855273367455e-15
GO:0010310,0.03897902767599971
GO:0098542,3.742283765213353e-7
GO:0009801,8.128465189048908e-14
GO:0046622,1.7869935663603146e-4
GO:0097167,2.512111241078991e-4
GO:2000280,3.2596620108171553e-51
GO:0010305,6.785503394012928e-11
GO:0097185,7.406098030980796e-12
GO:0016099,1.1694942329840818e-45
GO:0010469,5.298080024938888e-32
GO:0098660,1.829746419027932e-11
GO:0016024,0.0031518073881239266
GO:0030435,5.857984071946518e-4
GO:0016045,7.074797049045967e-14
GO:0010411,0.008377664567403784
GO:0010412,1.2855469194993903e-7
GO:0010438,3.3656690158608372e-12
GO:0034721,0.005148510718623062
GO:0070286,3.1113804484537744e-4
GO:0009696,7.287696891525864e-12
GO:0030150,5.084529795296023e-8
GO:0033387,7.247528047885105e-11
GO:0009664,6.796823615872659e-12
GO:0009682,6.035281372033494e-5
GO:0009684,1.053839181627316e-5
GO:0009686,7.892544844538984e-4
GO:0097237,1.1646405535394557e-17
GO:0010150,5.15772307571844e-4
GO:0009625,6.796601550545906e-49
GO:0009626,7.308788139359302e-94
GO:0009611,5.29527246230433e-18
GO:0009617,8.453332542194758e-18
GO:0009644,1.2572658632004195e-5
GO:0009649,4.197883023977761e-10
GO:0010114,9.315682461807011e-11
