name,value
GO:1905623,1.5857993483059926e-5
GO:0010727,1.7973811540342386e-4
GO:1905614,4.201958610549049e-19
GO:0036309,9.46308008987853e-16
GO:0098910,9.46308008987853e-16
GO:0033292,9.46308008987853e-16
GO:0034614,2.6949687702667067e-15
GO:0009992,0.016023712108509728
GO:0098907,9.46308008987853e-16
GO:0009961,0.01801958593538661
GO:0009962,2.8213840015112388e-15
GO:0009969,1.0946007103595594e-25
GO:0016458,6.618677785514142e-112
GO:0009972,2.6639876785306553e-17
GO:0010881,1.0662114674755792e-29
GO:0009914,7.217829965663912e-21
GO:0090559,3.839922860273701e-4
GO:1901599,0.008132309026387403
GO:0010842,0.005991849510111957
GO:0033206,4.744005745994084e-13
GO:0035024,1.1475331799673542e-4
GO:0052324,0.011030860866648182
GO:0070667,9.455802349917343e-7
GO:0036159,1.0739503305594594e-5
GO:2001040,1.803565989029901e-4
GO:1901526,1.8006991998452735e-4
GO:0048462,2.0078007773994434e-23
GO:0036172,8.140918182885492e-5
GO:0002938,1.9915860695645215e-6
GO:0030587,0.001048026412030276
GO:0007065,8.503962248270437e-6
GO:0007066,8.503962248270437e-6
GO:0080027,0.0011347768383696577
GO:0060078,1.8431485204632792e-7
GO:0080037,8.502890266454819e-10
GO:1900057,2.988238818674954e-4
GO:0016127,3.60697583903019e-5
GO:0007023,0.0010543781671619888
GO:0019348,0.0013881718172251522
GO:0080003,9.503234072068914e-22
GO:0010514,8.985673471716749e-5
GO:0048439,0.0029319720277180147
GO:0052472,3.743975029354656e-4
GO:1900016,0.0029743880426693755
GO:0090615,9.953267475052259e-26
GO:0036290,0.0431283465449275
GO:0016102,7.489014589528178e-38
GO:1900033,1.2115153724461402e-10
GO:0016106,6.507117298587858e-10
GO:0010500,8.365231048190035e-11
GO:0061614,0.008371663179088171
GO:1901684,5.376702104748345e-4
GO:0022900,2.725356103250712e-7
GO:0000025,1.3800395343980855e-5
GO:0000028,7.949918831483845e-5
GO:0051070,2.698383060913104e-7
GO:0001667,1.8671562970969766e-10
GO:0021537,0.007649333836873816
GO:0048172,1.31526656989884e-10
GO:0040011,0.00774819310394364
GO:0010623,3.3232106626686996e-7
GO:0010618,1.985971609317051e-15
GO:0010642,0.0029743880426693755
GO:0034983,1.8006991998452735e-4
GO:0010634,3.7434755624474826e-4
GO:0031098,1.0475718136714129e-18
GO:0032418,1.8006991998452735e-4
GO:0032436,2.9456793055441334e-4
GO:0033566,0.012918042098386403
GO:0045926,1.3463967231321303e-57
GO:0033542,6.49935351414084e-9
GO:0048211,1.1090468218270423e-6
GO:0048240,1.0367250954719976e-7
GO:0070972,8.772800002650133e-4
GO:0048767,1.7563889802507555e-14
GO:0043086,1.4251695879449714e-6
GO:0019218,8.387472006815245e-5
GO:0050935,0.0010543781671619888
GO:0032260,1.0445052205261817e-14
GO:0071395,3.076499144231809e-7
GO:0000390,3.014436042854867e-7
GO:0007346,6.992993672023942e-11
GO:0086091,9.46308008987853e-16
GO:0071368,1.8226286724071626e-10
GO:0060307,2.1299989066469685e-17
GO:0086064,9.009074818669491e-11
GO:0030994,7.567384019122472e-7
GO:0032232,1.0745370139542376e-5
GO:0000375,1.340412648014372e-7
GO:0071320,1.5093532163734098e-12
GO:0019761,3.2355752300263237e-16
GO:0071347,7.913429051922211e-10
GO:1901946,6.359768977403488e-9
GO:0016567,1.4698442169381823e-20
GO:1901948,6.359768977403488e-9
GO:1901949,6.359768977403488e-9
GO:0019756,3.0289560124914534e-26
GO:0086046,9.46308008987853e-16
GO:0010951,0.010309723074186034
GO:0000304,8.362775283965537e-10
GO:1900459,5.6483598023953235e-6
GO:0086005,9.46308008987853e-16
GO:0048831,0.0033082132144471267
GO:1900426,5.5379070131172085e-14
GO:0010942,5.112496275713916e-7
GO:0010930,2.547377281120371e-4
GO:1900449,4.657984500989036e-5
GO:0000462,2.8151750436232595e-4
GO:0071452,4.587460561427763e-11
GO:0080163,7.391466129061119e-4
GO:0080164,3.829371056465296e-4
GO:0080155,2.3638446648038603e-8
GO:0080156,2.200759331328353e-31
GO:0006045,4.989216573818999e-4
GO:0080184,1.2196524524916394e-9
GO:0071447,4.657984500989036e-5
GO:0007165,9.010979256522589e-64
GO:0007166,1.0477391604477554e-4
GO:0080126,1.3628904166161989e-17
GO:0048573,0.03477523721173179
GO:0006005,1.9915860695645215e-6
GO:0080143,1.6389542202253827e-15
GO:0031333,8.531413075842424e-6
GO:0048544,3.0270709835908983e-6
GO:0048509,2.0590833748923242e-22
GO:2001259,3.183623705537509e-4
GO:0052544,2.435335895051291e-6
GO:0000186,0.004419348320487574
GO:0000187,4.845110242006058e-8
GO:0060291,1.31526656989884e-10
GO:0060294,7.845984126191478e-10
GO:1904874,8.985673471716749e-5
GO:0003341,1.4835221033956529e-12
GO:0048662,4.989216573818999e-4
GO:0048658,2.7936393966085313e-13
GO:1904837,2.6170853736609516e-9
GO:0007256,1.0745370139542376e-5
GO:0060285,1.195208462436319e-9
GO:0018063,5.923906917438542e-4
GO:0035725,1.0137405719542833e-15
GO:0032527,1.0921132780342092e-9
GO:0009088,5.101028212661782e-9
GO:0032543,4.944501551372635e-5
GO:0071289,0.011010058894107437
GO:0071229,3.6160260490512805e-9
GO:0000226,7.0793396438598656e-12
GO:1902025,1.4483746732334724e-23
GO:0071215,3.729506578798842e-5
GO:1904526,2.2838310711989703e-41
GO:1902042,4.657984500989036e-5
GO:1904541,8.33645167134127e-6
GO:0071236,2.7658263942421094e-16
GO:0043457,4.989216573818999e-4
GO:0051211,0.015366814685999902
GO:0015700,2.2360251348510987e-5
GO:0015708,0.008132309026387403
GO:0012502,3.7001213540042877e-10
GO:0018008,1.3726856035197107e-7
GO:0060776,2.7921937178979266e-16
GO:0031146,8.713720563090785e-63
GO:0035864,4.627735940392823e-6
GO:0015893,1.2414954316312978e-6
GO:0002028,9.019660960049238e-11
GO:0002011,5.131802831209632e-4
GO:0044550,3.4294139669214827e-7
GO:0015851,7.522600951276119e-7
GO:0015853,3.528151633362095e-5
GO:0015854,4.336306782545104e-4
GO:1900745,0.008132309026387403
GO:0071766,8.717140111693946e-8
GO:0006359,5.182091793848309e-6
GO:0043406,0.042388500638175536
GO:0015886,0.00309525881294132
GO:0042073,8.559471805403259e-6
GO:0035845,0.005991849510111957
GO:0051762,5.0401647267995295e-101
GO:0051782,4.146536612254832e-5
GO:0071731,4.622242238784588e-4
GO:0043153,7.825796817889507e-12
GO:0046322,0.0029743880426693755
GO:1900865,1.2132205567000215e-4
